Time (ps),Energy
295.0,-20.0
296.0,-20.0
297.0,-20.0
298.0,-20.0
299.0,-20.0
300.0,-20.0
301.0,-20.0
302.0,-20.0
303.0,-20.0
304.0,-20.0
305.0,-20.0
306.0,-20.0
307.0,-20.0
307.99999999999994,-20.0
309.0,-20.0
310.0,-20.0
311.0,-20.0
312.0,-20.0
313.0,-20.0
314.0,-20.0
315.0,-20.0
316.0,-20.0
317.0,-20.0
318.0,-20.0
319.0,-20.0
320.0,-20.0
321.0,-20.0
322.0,-20.0
322.99999999999994,-20.0
324.0,-20.0
325.0,-20.0
326.0,-20.0
327.0,-20.0
328.0,-20.0
329.0,-20.0
330.0,-20.0
331.0,-20.0
332.0,-20.0
333.0,-20.0
334.0,-20.0
335.0,-20.0
336.0,-20.0
337.0,-20.0
337.99999999999994,-20.0
339.0,-20.0
340.0,-20.0
341.0,-20.0
342.0,-20.0
343.0,-20.0
344.0,-20.0
345.0,-20.0
346.0,-20.0
347.0,-20.0
348.0,-20.0
349.0,-20.0
350.0,-20.0
351.0,-20.0
352.0,-20.0
352.99999999999994,-20.0
354.0,-20.0
355.0,-20.0
356.0,-20.0
357.0,-20.0
358.0,-20.0
359.0,-20.0
360.0,-20.0
361.0,-20.0
362.0,-20.0
363.0,-20.0
364.0,-20.0
365.0,-20.0
366.0,-20.0
367.0,-20.0
367.99999999999994,-20.0
369.0,-20.0
370.0,-20.0
371.0,-20.0
372.0,-20.0
373.0,-20.0
374.0,-20.0
375.0,-20.0
376.0,-20.0
377.0,-20.0
378.0,-20.0
379.0,-20.0
380.0,-20.0
381.0,-20.0
382.0,-20.0
382.99999999999994,-20.0
384.0,-20.0
385.0,-20.0
386.0,-20.0
387.0,-20.0
388.0,-20.0
389.0,-20.0
390.0,-20.0
391.0,-20.0
392.0,-20.0
393.0,-20.0
394.0,-20.0
395.0,-20.0
396.0,-20.0
397.0,-20.0
397.99999999999994,-20.0
398.99999999999994,-20.0
400.0,-20.0
401.0,-20.0
402.0,-20.0
403.0,-20.0
404.0,-20.0
405.0,-20.0
406.0,-20.0
407.0,-20.0
408.0,-20.0
409.0,-20.0
410.0,-20.0
411.0,-20.0
412.0,-20.0
412.99999999999994,-20.0
413.99999999999994,-20.0
415.0,-20.0
416.0,-20.0
417.0,-20.0
418.0,-20.0
419.0,-20.0
420.0,-20.0
421.0,-20.0
422.0,-20.0
423.0,-20.0
424.0,-20.0
425.0,-20.0
426.0,-20.0
427.0,-20.0
427.99999999999994,-20.0
428.99999999999994,-20.0
430.0,-20.0
431.0,-20.0
432.0,-20.0
433.0,-20.0
434.0,-20.0
435.0,-20.0
436.0,-20.0
437.0,-20.0
438.0,-20.0
439.0,-20.0
440.0,-20.0
441.0,-20.0
442.0,-20.0
442.99999999999994,-20.0
443.99999999999994,-20.0
445.0,-20.0
446.0,-20.0
447.0,-20.0
448.0,-20.0
449.0,-20.0
450.0,-20.0
451.0,-20.0
452.0,-20.0
453.0,-20.0
454.0,-20.0
455.0,-20.0
456.0,-20.0
457.0,-20.0
457.99999999999994,-20.0
458.99999999999994,-20.0
460.0,-20.0
461.0,-20.0
462.0,-20.0
463.0,-20.0
464.0,-20.0
465.0,-20.0
465.99999999999994,-20.0
467.00000000000006,-20.0
468.00000000000006,-20.0
469.00000000000006,-20.0
470.00000000000006,-20.0
471.0,-20.0
472.0,-20.0
473.0,-20.0
474.0,-20.0
475.0,-20.0
476.0,-20.0
477.0,-20.0
478.0,-20.0
479.0,-20.0
480.0,-20.0
481.0,-20.0
482.0,-20.0
483.0,-20.0
484.0,-20.0
485.0,-20.0
486.0,-20.0
487.0,-20.0
487.99999999999994,-20.0
488.99999999999994,-20.0
489.99999999999994,-20.0
490.99999999999994,-20.0
491.99999999999994,-20.0
492.99999999999994,-20.0
493.99999999999994,-20.0
494.99999999999994,-20.0
495.99999999999994,-20.0
497.00000000000006,-20.0
498.00000000000006,-20.0
499.00000000000006,-20.0
500.00000000000006,-20.0
501.0,-20.0
502.0,-20.0
503.0,-20.0
504.0,-20.0
505.0,-20.0
506.0,-20.0
507.0,-20.0
508.0,-20.0
509.0,-20.0
510.0,-20.0
511.0,-20.0
512.0,-20.0
513.0,-20.0
514.0,-20.0
515.0,-20.0
516.0,-20.0
517.0,-20.0
518.0,-20.0
519.0,-20.0
520.0,-20.0
521.0,-20.0
522.0,-20.0
523.0,-20.0
524.0,-20.0
525.0,-20.0
525.9999999999999,-20.0
526.9999999999999,-20.0
528.0,-20.0
529.0,-20.0
530.0,-20.0
531.0,-20.0
532.0,-20.0
533.0,-20.0
534.0,-20.0
535.0,-20.0
536.0,-20.0
537.0,-20.0
538.0,-20.0
539.0,-20.0
540.0,-20.0
541.0,-20.0
542.0,-20.0
543.0,-20.0
544.0,-20.0
545.0,-20.0
546.0,-20.0
547.0,-20.0
548.0,-20.0
549.0,-20.0
550.0,-20.0
551.0,-20.0
552.0,-20.0
553.0,-20.0
554.0,-20.0
555.0,-20.0
555.9999999999999,-20.0
556.9999999999999,-20.0
558.0,-20.0
559.0,-20.0
560.0,-20.0
561.0,-20.0
562.0,-20.0
563.0,-20.0
564.0,-20.0
565.0,-20.0
566.0,-20.0
567.0,-20.0
568.0,-20.0
569.0,-20.0
570.0,-20.0
571.0,-20.0
572.0,-20.0
573.0,-20.0
574.0,-20.0
575.0,-20.0
576.0,-20.0
577.0,-20.0
578.0,-20.0
579.0,-20.0
580.0,-20.0
581.0,-20.0
582.0,-20.0
583.0,-20.0
584.0,-20.0
585.0,-20.0
585.9999999999999,-20.0
586.9999999999999,-20.0
588.0,-20.0
589.0,-20.0
590.0,-20.0
591.0,-20.0
592.0,-20.0
593.0,-20.0
594.0,-20.0
595.0,-20.0
596.0,-20.0
597.0,-20.0
598.0,-20.0
599.0,-20.0
600.0,-20.0
601.0,-20.0
602.0,-20.0
603.0,-20.0
604.0,-20.0
605.0,-20.0
606.0,-20.0
607.0,-20.0
608.0,-20.0
609.0,-20.0
610.0,-20.0
611.0,-20.0
612.0,-20.0
613.0,-20.0
614.0,-20.0
615.0,-20.0
615.9999999999999,-20.0
616.9999999999999,-20.0
618.0,-20.0
619.0,-20.0
620.0,-20.0
621.0,-20.0
622.0,-20.0
623.0,-20.0
624.0,-20.0
625.0,-20.0
626.0,-20.0
627.0,-20.0
628.0,-20.0
629.0,-20.0
630.0,-20.0
631.0,-20.0
632.0,-20.0
633.0,-20.0
634.0,-20.0
635.0,-20.0
636.0,-20.0
637.0,-20.0
638.0,-20.0
639.0,-20.0
640.0,-20.0
641.0,-20.0
642.0,-20.0
643.0,-20.0
644.0,-20.0
645.0,-20.0
645.9999999999999,-20.0
646.9999999999999,-20.0
648.0,-20.0
649.0,-20.0
650.0,-20.0
651.0,-20.0
652.0,-20.0
653.0,-20.0
654.0,-20.0
655.0,-20.0
656.0,-20.0
657.0,-20.0
658.0,-20.0
659.0,-20.0
660.0,-20.0
661.0,-20.0
662.0,-20.0
663.0,-20.0
664.0,-20.0
665.0,-20.0
666.0,-20.0
667.0,-20.0
668.0,-20.0
669.0,-20.0
670.0,-20.0
671.0,-20.0
672.0,-20.0
673.0,-20.0
674.0,-20.0
675.0,-20.0
675.9999999999999,-20.0
676.9999999999999,-20.0
678.0,-20.0
679.0,-20.0
680.0,-20.0
681.0,-20.0
682.0,-20.0
683.0,-20.0
684.0,-20.0
685.0,-20.0
686.0,-20.0
687.0,-20.0
688.0,-20.0
689.0,-20.0
690.0,-20.0
691.0,-20.0
692.0,-20.0
693.0,-20.0
694.0,-20.0
695.0,-20.0
696.0,-20.0
697.0,-20.0
698.0,-20.0
699.0,-20.0
700.0,-20.0
701.0,-20.0
702.0,-20.0
703.0,-20.0
704.0,-20.0
705.0,-20.0
705.9999999999999,-20.0
706.9999999999999,-20.0
708.0,-20.0
709.0,-20.0
710.0,-20.0
711.0,-20.0
712.0,-20.0
713.0,-20.0
714.0,-20.0
715.0,-20.0
716.0,-20.0
717.0,-20.0
718.0,-20.0
719.0,-20.0
720.0,-20.0
721.0,-20.0
722.0,-20.0
723.0,-20.0
724.0,-20.0
725.0,-20.0
726.0,-20.0
727.0,-20.0
728.0,-20.0
729.0,-20.0
730.0,-20.0
731.0,-20.0
732.0,-20.0
733.0,-20.0
734.0,-20.0
735.0,-20.0
735.9999999999999,-20.0
736.9999999999999,-20.0
738.0,-20.0
739.0,-20.0
740.0,-20.0
741.0,-20.0
742.0,-20.0
743.0,-20.0
744.0,-20.0
745.0,-20.0
746.0,-20.0
747.0,-20.0
748.0,-20.0
749.0,-20.0
750.0,-20.0
751.0,-20.0
752.0,-20.0
753.0,-20.0
754.0,-20.0
755.0,-20.0
756.0,-20.0
757.0,-20.0
758.0,-20.0
759.0,-20.0
760.0,-20.0
761.0,-20.0
762.0,-20.0
763.0,-20.0
764.0,-20.0
765.0,-20.0
765.9999999999999,-20.0
766.9999999999999,-20.0
768.0,-20.0
769.0,-20.0
770.0,-20.0
771.0,-20.0
772.0,-20.0
773.0,-20.0
774.0,-20.0
775.0,-20.0
776.0,-20.0
777.0,-20.0
778.0,-20.0
779.0,-20.0
780.0,-20.0
781.0,-20.0
782.0,-20.0
783.0,-20.0
784.0,-20.0
785.0,-20.0
786.0,-20.0
787.0,-20.0
788.0,-20.0
789.0,-20.0
790.0,-20.0
791.0,-20.0
792.0,-20.0
793.0,-20.0
794.0,-20.0
794.9999999999999,-20.0
795.9999999999999,-20.0
796.9999999999999,-20.0
797.9999999999999,-20.0
799.0,-20.0
800.0,-20.0
801.0,-20.0
802.0,-20.0
803.0,-20.0
804.0,-20.0
805.0,-20.0
806.0,-20.0
807.0,-20.0
808.0,-20.0
809.0,-20.0
810.0,-20.0
811.0,-20.0
812.0,-20.0
813.0,-20.0
814.0,-20.0
815.0,-20.0
816.0,-20.0
817.0,-20.0
818.0,-20.0
819.0,-20.0
820.0,-20.0
821.0,-20.0
822.0,-20.0
823.0,-20.0
824.0,-20.0
824.9999999999999,-20.0
825.9999999999999,-20.0
826.9999999999999,-20.0
827.9999999999999,-20.0
829.0,-20.0
830.0,-20.0
831.0,-20.0
832.0,-20.0
833.0,-20.0
834.0,-20.0
835.0,-20.0
836.0,-20.0
837.0,-20.0
838.0,-20.0
839.0,-20.0
840.0,-20.0
841.0,-20.0
842.0,-20.0
843.0,-20.0
844.0,-20.0
845.0,-20.0
846.0,-20.0
847.0,-20.0
848.0,-20.0
849.0,-20.0
850.0,-20.0
851.0,-20.0
852.0,-20.0
853.0,-20.0
854.0,-20.0
854.9999999999999,-20.0
855.9999999999999,-20.0
856.9999999999999,-20.0
857.9999999999999,-20.0
859.0,-20.0
860.0,-20.0
861.0,-20.0
862.0,-20.0
863.0,-20.0
864.0,-20.0
865.0,-20.0
866.0,-20.0
867.0,-20.0
868.0,-20.0
869.0,-20.0
870.0,-20.0
871.0,-20.0
872.0,-20.0
873.0,-20.0
874.0,-20.0
875.0,-20.0
876.0,-20.0
877.0,-20.0
878.0,-20.0
879.0,-20.0
880.0,-20.0
881.0,-20.0
882.0,-20.0
883.0,-20.0
884.0,-20.0
884.9999999999999,-20.0
885.9999999999999,-20.0
886.9999999999999,-20.0
887.9999999999999,-20.0
889.0,-20.0
890.0,-20.0
891.0,-20.0
892.0,-20.0
893.0,-20.0
894.0,-20.0
895.0,-20.0
896.0,-20.0
897.0,-20.0
898.0,-20.0
899.0,-20.0
900.0,-20.0
901.0,-20.0
902.0,-20.0
903.0,-20.0
904.0,-20.0
905.0,-20.0
906.0,-20.0
907.0,-20.0
908.0,-20.0
909.0,-20.0
910.0,-20.0
911.0,-20.0
912.0,-20.0
913.0,-20.0
914.0,-20.0
914.9999999999999,-20.0
915.9999999999999,-20.0
916.9999999999999,-20.0
917.9999999999999,-20.0
919.0,-20.0
920.0,-20.0
921.0,-20.0
922.0,-20.0
923.0,-20.0
924.0,-20.0
925.0,-20.0
926.0,-20.0
927.0,-20.0
928.0,-20.0
929.0,-20.0
930.0,-20.0
931.0,-20.0
931.9999999999999,-20.0
933.0,-20.0
934.0000000000001,-20.0
935.0,-20.0
936.0000000000001,-20.0
937.0,-20.0
938.0000000000001,-20.0
939.0,-20.0
940.0000000000001,-20.0
941.0,-20.0
942.0,-20.0
943.0,-20.0
944.0,-20.0
944.9999999999999,-20.0
946.0,-20.0
946.9999999999999,-20.0
948.0,-20.0
948.9999999999999,-20.0
950.0,-20.0
950.9999999999999,-20.0
952.0,-20.0
952.9999999999999,-20.0
954.0,-20.0
954.9999999999999,-20.0
956.0,-20.0
956.9999999999999,-20.0
958.0,-20.0
958.9999999999999,-20.0
960.0,-20.0
960.9999999999999,-20.0
962.0,-20.0
962.9999999999999,-20.0
964.0,-20.0
965.0000000000001,-20.0
966.0,-20.0
967.0000000000001,-20.0
968.0,-20.0
969.0000000000001,-20.0
970.0,-20.0
971.0000000000001,-20.0
972.0,-20.0
973.0,-20.0
974.0,-20.0
975.0,-20.0
975.9999999999999,-20.0
977.0,-20.0
977.9999999999999,-20.0
979.0,-20.0
979.9999999999999,-20.0
981.0,-20.0
981.9999999999999,-20.0
983.0,-20.0
983.9999999999999,-20.0
985.0,-20.0
985.9999999999999,-20.0
987.0,-20.0
987.9999999999999,-20.0
989.0,-20.0
989.9999999999999,-20.0
991.0,-20.0
991.9999999999999,-20.0
993.0,-20.0
994.0000000000001,-20.0
995.0,-20.0
996.0000000000001,-20.0
997.0,-20.0
998.0000000000001,-20.0
999.0,-20.0
1000.0000000000001,-20.0
